Product Name,Sizes,Sizes Group,Sizes Group Count
חולצת אלגנט מכופתרת פרימיום,"3XL, 2XL, XL, L, M, S",1285580055941491199,10
מעיל אלגנט 100% כותנה,"3XL, 2XL, XL, L, M, S",1285580055941491199,10
הדפס כיס+גב צבעוני,one size,700455345798571475,877
הדפס צבעוני כיס+גב,one size,700455345798571475,877
מעיל 100% כותנה,one size,700455345798571475,877
דרייפיט קצר גזרת נשים,"3XL, 2XL, XL, L, M, S, XS",8997148825981328039,2
כללי,one size,700455345798571475,877
מעיל גשם EVA,one size,700455345798571475,877
פיתוח רקמה,one size,700455345798571475,877
כובע פליז,one size,700455345798571475,877
אקדח מאסז',one size,700455345798571475,877
ווסט פוך משופר,"4XL, 3XL, 2XL, XL, L, M, S",-1996423517076311580,29
ווסט פוך משודרג,"4XL, 3XL, 2XL, XL, L, M, S",-1996423517076311580,29
חולצת טריקו שרוול קצר עם כיס,"5XL, 4XL, 3XL, 2XL, XL, L, M, S",2857808831311792174,40
דגל פוליאסטר 80X50 כולל הדפס צד אחד,one size,700455345798571475,877
"דגמ""ח איכותי דגם פריז V","35, 40, 38, 36, 29, 34, 33, 32, 31, 30, 28",8271138754667530601,2
"דגמ""ח איכותי דגם פריז","35, 40, 38, 36, 29, 34, 33, 32, 31, 30, 28",8271138754667530601,2
"מעיל מע""צ","4XL, 3XL, 2XL, XL, L, M, S",-1996423517076311580,29
קפוצ'ון קנגרו משודרג,"4XL, 3XL, 2XL, XL, L, M, S",-1996423517076311580,29
קפוצ'ון רוכסן משודרג,"4XL, 3XL, 2XL, XL, L, M, S",-1996423517076311580,29
סופטשל תרמי,"4XL, 3XL, 2XL, XL, L, M, S",-1996423517076311580,29
עיצוב גרפיקה,one size,700455345798571475,877
TITAN COBALT S3,"46, 45, 44, 43, 42, 41, 40, 39, 38, 37",258164173730187906,4
חולצת טריקו שרוול ארוך + כובע,"4XL, 3XL, 2XL, XL, L, M, S",-1996423517076311580,29
מעיל פוך משופר ללא כובע,"4XL, 3XL, 2XL, XL, L, M, S",-1996423517076311580,29
כפכף עבודה סגור,"46, 45, 44, 43, 42, 41, 40, 39, 38, 37",258164173730187906,4
מגף TITAN עם או ללא מגן,"46, 45, 44, 43, 42, 41, 40, 39, 38, 37",258164173730187906,4
ELLA LILY SB SRC,"35, 42, 41, 40, 39, 38, 37, 36",-6343782152027222952,3
ELLA JASMINE SB SRC,"35, 42, 41, 40, 39, 38, 37, 36",-6343782152027222952,3
ELLA DAISY SB SRC,"35, 42, 41, 40, 39, 38, 37, 36",-6343782152027222952,3
נעל ספורט בטיחות Sneaker S3,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37",-6085058773725583097,18
JCB מגף S3,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37",-6085058773725583097,18
JCB מגף ללא מגן,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37",-6085058773725583097,18
נעל עבודה CHUKKA S3-SRC,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",739583987545114828,14
JCB הולטון S3-SRC,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",739583987545114828,14
"מנעול 25 מ""מ",one size,700455345798571475,877
ספל טרמי עם מכסה אקרילי,one size,700455345798571475,877
הדפסים כמות מינימום (מתחת ל-60),one size,700455345798571475,877
מיקרופון זוג,one size,700455345798571475,877
גז לברנר,one size,700455345798571475,877
סינר צרפתי פסים\שחור,one size,700455345798571475,877
"דגמ""ח אינדיאני פס זוהר","4XL, 3XL, 2XL, XL, L, M, S",-1996423517076311580,29
טריקו V גזרת נשים,"3XL, 2XL, XL, L, M, S",1285580055941491199,10
מכנס כותנה סטרץ' פרימיום,"3XL, 2XL, XL, L, M, S",1285580055941491199,10
נעל מנהלים white גובה 3\4 תקן S3 יובנטוס,"47, 46, 45, 44, 43, 42, 41, 40, 39",-7795759257685808577,4
נעל מנהלים BLUE גובה 3\4 תקן S3 ברצלונה,"47, 46, 45, 44, 43, 42, 41, 40, 39",-7795759257685808577,4
מגף עבודה פרימיום,"46, 45, 44, 43, 42, 41, 40, 39",-570365678330919438,1
פיתוח גלופה,one size,700455345798571475,877
מגף בוקס איכותי S3,"48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37",-1456368307733958321,3
"חוט CO2 עובי 0.8 מ""מ",one size,700455345798571475,877
חולצה מכופתרת אלגנט משובצת שרוול ארוך,"4XL, 3XL, 2XL, XL, L, M, S",-1996423517076311580,29
מקטורן דריל רתכים,"5XL, 4XL, 3XL, 2XL, XL, L, M, S",2857808831311792174,40
מוט מסאז טלסקופי,one size,700455345798571475,877
לוח שנה,one size,700455345798571475,877
שלטי רול-אפ,one size,700455345798571475,877
שלטי שמשונית,one size,700455345798571475,877
פלייר נייר,"A3, A4, A5",7895006930730956144,1
כרטיס ביקור,one size,700455345798571475,877
מגנטים בהתאמה אישית,one size,700455345798571475,877
שילוט PVC,one size,700455345798571475,877
נעל  גובה 3\4 RED-LINE,"48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37",-1456368307733958321,3
חולצת דרייפיט שרוול ארוך מסננת קרינה,"4XL, 3XL, 2XL, XL, L, M, S",-1996423517076311580,29
"דגמ""ח ניילון מתפרק דגם SLIGHT","4XL, 3XL, 2XL, XL, L, M, S",-1996423517076311580,29
"דגמ""ח ניילון נמתח RED-LINE","4XL, 3XL, 2XL, XL, L, M, S",-1996423517076311580,29
נעל טקטית גבוהה עם רוכסן,"48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37",-1456368307733958321,3
מאוורר נייד,one size,700455345798571475,877
מוט מסאז' טלסקופי,one size,700455345798571475,877
תיק כביסה,one size,700455345798571475,877
